1|Pelaaja playeri|660|250|vasen|latitude|Helsinki|Helsinki|lempiruoka: lasagne
4|Pelaaja playeri|250|250|vasen|latitude|Tuusula|Helsinki|lempiruoka: lasagne
5|Pelaaja playeri|94|250|vasen|latitude|Tuusula|Helsinki|lempiruoka: lasagne
6|Pelaaja playeri|908|250|vasen|latitude|Tuusula|Helsinki|lempiruoka: lasagne
7|Pelaaja playeri|417|250|vasen|latitude|Tuusula|Helsinki|lempiruoka: lasagne
8|Pelaaja playeri|696|250|vasen|latitude|Tuusula|Helsinki|lempiruoka: lasagne
9|Pelaaja playeri|618|250|vasen|latitude|Tuusula|Helsinki|lempiruoka: lasagne
10|Pelaaja playeri|329|250|vasen|latitude|Tuusula|Helsinki|lempiruoka: lasagne
11|Pelaaja playeri|714|250|vasen|latitude|Tuusula|Helsinki|lempiruoka: lasagne
12|Pelaaja playeri|625|250|vasen|latitude|Tuusula|Helsinki|lempiruoka: lasagne
13|Pelaaja playeri|688|250|vasen|latitude|Tuusula|Helsinki|lempiruoka: lasagne
14|Pelaaja playeri|763|250|vasen|latitude|Tuusula|Helsinki|lempiruoka: lasagne
15|Pelaaja playeri|308|250|vasen|latitude|Tuusula|Helsinki|lempiruoka: lasagne
16|Pelaaja playeri|88|250|vasen|latitude|Tuusula|Helsinki|lempiruoka: lasagne
17|Pelaaja playeri|428|250|vasen|latitude|Tuusula|Helsinki|lempiruoka: lasagne
18|Pelaaja playeri|313|250|vasen|latitude|Tuusula|Helsinki|lempiruoka: lasagne
19|Joona Laitinen|150|135|oikea|Seiko|Tali|Helsinki|
20|Väinö Mäkelä|130|124|oikea|Latitude|Tali|Jyväskylä|
21|Miko Saarikivi|126|176|oikea|Umbro|Matinkylä|Tuusula|mösö on hesessä töissä
22|Konsta Kahtava|12|19|vasen|Porin Kaupunki|Merikarvia|Pori|testaaja
23|Tuke Pitkänen|123|657|oikea|No Fear|Keljonkangas|Muurame|hevipää
